"","contrast","estimate","std.error","statistic","p.value","generation","metabolite","sex","exposure","pAdj","results","pAdjALL","SignifAll"
"143","Both vs Paternal NSD",-6.28028921363344,3.2184195405932,-1.95135815403231,0.124597600058134,"F2","TAG","male","NA",0.403696224188355," ",0.39346610544674," "
"144","Maternal vs Paternal NSD",0.163834878693311,3.21894161178014,0.0508971265877382,0.998572773259154,"F2","TAG","male","NA",0.999818594883818," ",0.999818594883818," "
"145","Both vs Maternal NSD",0.200795366560359,1.65996135362733,0.120963880346722,0.991965668299949,"F2","Glycogen","male","NA",0.999818594883818," ",0.999818594883818," "
"146","Both vs Paternal NSD",-6.81125681171349,1.6696730885508,-4.07939545676294,0.000126138470515458,"F2","Glycogen","male","NA",0.00127715201396901,"**",0.00201441853879963,"**"
"147","Maternal vs Paternal NSD",-7.01205217827385,1.66645368256413,-4.20776901970933,8.09784575630523e-05,"F2","Glycogen","male","NA",0.00109320917710121,"**",0.00161956915126105,"**"
"148","Both vs Maternal NSD",1.8310234942359,1.13884802097737,1.6077856399702,0.242306059286831,"F2","Trehalose","male","NA",0.726918177860492," ",0.597466995501775," "
"149","Both vs Paternal NSD",1.42816091178115,1.14551094121566,1.2467457624329,0.425614447338119,"F2","Trehalose","male","NA",0.907230795641781," ",0.751084318831976," "
"150","Maternal vs Paternal NSD",-0.40286258245475,1.14330220657937,-0.35236753689129,0.933855083676259,"F2","Trehalose","male","NA",0.999818594883818," ",0.999818594883818," "
"151","Both vs Maternal NSD",-0.76978343953673,0.522646725486374,-1.47285614163252,0.304065605746545,"F2","Glucose","male","NA",0.794861349672477," ",0.667769697556824," "
"152","Both vs Paternal NSD",-1.54238393515261,0.525704511407385,-2.93393703436829,0.00941513053717835,"F2","Glucose","male","NA",0.0693295975919497,".",0.0651816729496963,"."
"153","Maternal vs Paternal NSD",-0.772600495615884,0.524690866123854,-1.47248703093206,0.304206195553664,"F2","Glucose","male","NA",0.794861349672477," ",0.667769697556824," "
"154","Both vs Maternal NSD",3.67260970224402,2.66209010651444,1.37959631541274,0.351587410857834,"F3","TAG","female","NA",0.838510956640934," ",0.728208749062369," "
"155","Both vs Paternal NSD",-2.79781530498616,2.66429809292271,-1.05011346606377,0.545217935774107,"F3","TAG","female","NA",0.999818594883818," ",0.846027831373615," "
"156","Maternal vs Paternal NSD",-6.47042500723018,2.67582300252608,-2.41810650447427,0.0411848536756229,"F3","TAG","female","NA",0.208498321732841," ",0.200358747611138," "
"157","Both vs Maternal NSD",-4.23702926379732,1.84695751896318,-2.29405886182799,0.0565583566976557,"F3","Glycogen","female","NA",0.241117204868953," ",0.244857737982796," "
"158","Both vs Paternal NSD",-4.29791835526992,1.86034916129863,-2.31027510570635,0.0543855773188839,"F3","Glycogen","female","NA",0.241117204868953," ",0.244735097934978," "
"159","Maternal vs Paternal NSD",-0.0608890914725972,1.83935317342737,-0.033103534629589,0.999395968557938,"F3","Glycogen","female","NA",0.999818594883818," ",0.999818594883818," "
"160","Both vs Maternal NSD",1.62744018369587,1.28096400346505,1.27048080921367,0.411905017471524,"F3","Trehalose","female","NA",0.907230795641781," ",0.751084318831976," "
"161","Both vs Paternal NSD",-0.131610344775503,1.29025182497847,-0.102003610634458,0.99427979196737,"F3","Trehalose","female","NA",0.999818594883818," ",0.999818594883818," "
"162","Maternal vs Paternal NSD",-1.75905052847137,1.27568998237834,-1.37890126344951,0.351967562046812,"F3","Trehalose","female","NA",0.838510956640934," ",0.728208749062369," "
"163","Both vs Maternal NSD",-0.956518658858395,0.421546055657949,-2.26907272887528,0.0601184450478565,"F3","Glucose","female","NA",0.243479702443819," ",0.250852965003971," "
"164","Both vs Paternal NSD",-0.128850107401823,0.424602538520891,-0.303460520633423,0.950505278536293,"F3","Glucose","female","NA",0.999818594883818," ",0.999818594883818," "
"165","Maternal vs Paternal NSD",0.827668551456573,0.419810454360374,1.97152915764715,0.119231156041614,"F3","Glucose","female","NA",0.402405151640447," ",0.390211056136191," "
